rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization,YM,name_id,rank_name_id,latest_rank
732,expert,Pietro Marinelli,https://www.kaggle.com/pietromarinelli,0,16,20,11972,Italy,Lazio,Rome,Data Scientist,Consultant,2022-06,Pietro Marinelli (pietromarinelli),[Rank: 1000+] Pietro Marinelli (pietromarinelli),1001.0
733,grandmaster,DavidGbodiOdaibo,https://www.kaggle.com/godaibo,5,13,11,11968,United States,UNKOWN,UNKOWN,Founder ,"Analytical AI, Chartgard",2022-06,DavidGbodiOdaibo (godaibo),[Rank: 1000+] DavidGbodiOdaibo (godaibo),1001.0
734,expert,Alexis Gassmann,https://www.kaggle.com/tarandro,0,2,6,11942,France,Île-de-France,Paris,Data Scientist,Datastorm,2022-06,Alexis Gassmann (tarandro),[Rank: 1000+] Alexis Gassmann (tarandro),1001.0
735,master,MachineLP,https://www.kaggle.com/machinelp,1,6,4,11939,United Arab Emirates,Abu Dhabi,Abu Dhabi,CV,M,2022-06,MachineLP (machinelp),[Rank: 1000+] MachineLP (machinelp),1001.0
736,expert,outwrest,https://www.kaggle.com/outwrest,0,3,1,11928,United States,Missouri,Kansas City,Student,Northwest Missouri State Univerity,2022-06,outwrest (outwrest),[Rank: 846] outwrest (outwrest),846.0
737,master,Li-Der,https://www.kaggle.com/liderchang,3,22,5,11921,United States,Massachusetts,Ludlow,Ph.D. in ECE,"University of Florida, U.S.",2022-06,Li-Der (liderchang),[Rank: 907] Li-Der (liderchang),907.0
738,expert,T. Morimura,https://www.kaggle.com/takeshimorimura,0,1,1,11910,Japan,Kyoto,Kyoto,Engineer,Tsubakimoto Chain,2022-06,T. Morimura (takeshimorimura),[Rank: 994] T. Morimura (takeshimorimura),994.0
739,expert,Yoshio Sugiyama,https://www.kaggle.com/imokuri,1,1,2,11890,Japan,Tokyo,Tokyo,Infrastructure Engineer,Hewlett-Packard Japan,2022-06,Yoshio Sugiyama (imokuri),[Rank: 1000+] Yoshio Sugiyama (imokuri),1001.0
740,master,Shihao Shao,https://www.kaggle.com/louieshao,1,3,0,11865,China,Beijing,Beijing,Student,"School of Basic Medical Sciences, Peking University",2022-06,Shihao Shao (louieshao),[Rank: 39] Shihao Shao (louieshao),39.0
741,master,Xie29,https://www.kaggle.com/xiejialun,1,5,3,11837,Taiwan,UNKOWN,Taipei,.,.,2022-06,Tsai29 (xiejialun),[Rank: 696] Tsai29 (xiejialun),696.0
742,master,Javier Martín,https://www.kaggle.com/bacterio,2,3,1,11784,Spain,Valencian Community,San Fulgencio,Teacher,High School,2022-06,Javier Martín (bacterio),[Rank: 1000+] Javier Martín (bacterio),1001.0
743,master,Antoniu Gugu,https://www.kaggle.com/antoniu,1,3,3,11770,Romania,Bucharest,Bucharest,Software Engineer,UNKOWN,2022-06,Antoniu Gugu (antoniu),[Rank: 980] Antoniu Gugu (antoniu),980.0
744,expert,K-NKSM,https://www.kaggle.com/nmkt6e6d6b74,2,0,0,11754,Japan,Aichi,Kariya,battery state simulation engineer,UNKOWN,2022-06,K-NKSM (nmkt6e6d6b74),[Rank: 1000+] K-NKSM (nmkt6e6d6b74),1001.0
745,expert,Ayman Khalafallah,https://www.kaggle.com/aymankh,0,2,5,11752,Egypt,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,Ayman Khalafallah (aymankh),[Rank: 624] Ayman Khalafallah (aymankh),624.0
746,expert,maze508,https://www.kaggle.com/toxicmaze,0,1,2,11751,Singapore,UNKOWN,Singapore,Terrible,ML,2022-06,maze508 (toxicmaze),[Rank: 996] maze508 (toxicmaze),996.0
747,expert,LaniakeaYanzu,https://www.kaggle.com/findcxtcom,1,1,4,11747,United Kingdom,England,Birmingham, ,UNKOWN,2022-06,Xintong Chen (findcxtcom),[Rank: 861] Xintong Chen (findcxtcom),861.0
748,master,Vladislav Ostankovich,https://www.kaggle.com/vostankovich,1,4,1,11746,Kazakhstan,South Kazakhstan Province,Shymkent,Senior Computer Vision Research Engineer,UNKOWN,2022-06,Vladislav Ostankovich (vostankovich),[Rank: 793] Vladislav Ostankovich (vostankovich),793.0
749,master,Toan Do,https://www.kaggle.com/dvtoan7997,1,3,1,11738,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,Toan Do (dvtoan7997),[Rank: 1000+] Toan Do (dvtoan7997),1001.0
750,master,tomotana14,https://www.kaggle.com/tomotana,3,3,0,11691,Japan,Tokyo,Tokyo,UNKOWN,Yahoo!JAPAN,2022-06,tomotana14 (tomotana),[Rank: 1000+] tomotana14 (tomotana),1001.0
751,expert,Tamo,https://www.kaggle.com/yuyuki11235,0,1,1,11673,Japan,Kanagawa,Yokohama,Engineer, -,2022-06,Tamo (yuyuki11235),[Rank: 301] Tamo (yuyuki11235),301.0
752,expert,Joni Juvonen,https://www.kaggle.com/qitvision,0,6,6,11667,Finland,UNKOWN,Turku,Lead AI Engineer,Silo AI,2022-06,Joni Juvonen (qitvision),[Rank: 471] Joni Juvonen (qitvision),471.0
753,expert,Miss Qiu,https://www.kaggle.com/liuhaixu,0,2,3,11666,China,Anhui,Hefei,Student,Chizhou  University,2022-06,Miss Qiu (liuhaixu),[Rank: 957] Miss Qiu (liuhaixu),957.0
754,master,kss,https://www.kaggle.com/l0glikelihood,2,3,2,11665,Czechia,Prague,Prague,UNKOWN,UNKOWN,2022-06,kss (l0glikelihood),[Rank: 968] kss (l0glikelihood),968.0
755,expert,Tom Forbes,https://www.kaggle.com/tomforbes,1,1,1,11643,United Kingdom,England,Leeds,Data Engineer,UNKOWN,2022-06,Tom Forbes (tomforbes),[Rank: 1000+] Tom Forbes (tomforbes),1001.0
756,expert,stallone,https://www.kaggle.com/deepkun1995,1,0,2,11622,Japan,Tokyo,Tokyo,Sophia,Kawaii,2022-06,stallone (deepkun1995),[Rank: 774] stallone (deepkun1995),774.0
757,master,Najibul Haque Sarker,https://www.kaggle.com/nexh98,1,4,2,11617,Bangladesh,Dhaka Division,Dhaka,CSE Undergrad,BUET,2022-06,Najibul Haque Sarker (nexh98),[Rank: 1000+] Najibul Haque Sarker (nexh98),1001.0
758,expert,Anurag Trivedi,https://www.kaggle.com/anuragtr,0,1,2,11613,India,Karnataka,Bengaluru,Data Scientist,IQVIA,2022-06,Anurag Trivedi (anuragtr),[Rank: 1000+] Anurag Trivedi (anuragtr),1001.0
759,expert,Magnus,https://www.kaggle.com/magnus7,0,1,6,11611,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,UNKOWN,UNKOWN,2022-06,Magnus (magnus7),[Rank: 546] Magnus (magnus7),546.0
760,expert,AbhilashVJ,https://www.kaggle.com/abh001,0,0,2,11596,India,Kerala,Thiruvananthapuram,AI Engineer,Innovation Incubator Advisory,2022-06,AbhilashVJ (abh001),[Rank: 583] AbhilashVJ (abh001),583.0
761,master,x0x0w1,https://www.kaggle.com/x0x0w1,2,18,4,11594,Ukraine,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,x0x0w1 (x0x0w1),[Rank: 1000+] x0x0w1 (x0x0w1),1001.0
762,expert,Awesome Duck,https://www.kaggle.com/gwanghan,1,1,3,11578,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,LGH (gwanghan),[Rank: 783] LGH (gwanghan),783.0
763,master,Sk,https://www.kaggle.com/skneko,2,1,0,11564,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-06,Sk (skneko),[Rank: 1000+] Sk (skneko),1001.0
764,expert,sandy1112,https://www.kaggle.com/sandy1112,0,2,5,11563,India,Karnataka,Bengaluru,Data Sciences & ML Engineering,Walmart,2022-06,sandy1112 (sandy1112),[Rank: 1000+] sandy1112 (sandy1112),1001.0
765,expert,lhagiimn,https://www.kaggle.com/lhagiimn,0,4,2,11540,South Korea,Chungcheongbuk-do,Cheongju-si,Ph.D. candidate,Chungbuk National University,2022-06,lhagiimn (lhagiimn),[Rank: 895] lhagiimn (lhagiimn),895.0
766,expert,g720052,https://www.kaggle.com/g720052,0,1,1,11535,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-06,g720052 (g720052),[Rank: 509] g720052 (g720052),509.0
767,master,Michal,https://www.kaggle.com/michaln,1,2,3,11526,Czechia,Prague,Prague,Programmer,wherever is needed,2022-06,Michal (michaln),[Rank: 1000+] Michal (michaln),1001.0
768,expert,Wilmer Henao,https://www.kaggle.com/verracodeguacas,0,2,3,11526,United States,New York,New York,PhD in Operations Engineering,University of Michigan,2022-06,Wilmer E. Henao (verracodeguacas),[Rank: 784] Wilmer E. Henao (verracodeguacas),784.0
769,master,Bibek,https://www.kaggle.com/bibek777,1,3,4,11521,South Korea,Seoul,Seoul,Research Engineer,UNKOWN,2022-06,Bibek (bibek777),[Rank: 1000+] Bibek (bibek777),1001.0
770,master,yuki,https://www.kaggle.com/yururoi,1,3,1,11459,Japan,Chiba,Shiroi,Consultant,Ulsystems,2022-06,yuki (yururoi),[Rank: 1000+] yuki (yururoi),1001.0
771,master,Emin Ozturk,https://www.kaggle.com/meminozturk,3,7,0,11450,Turkey,Istanbul,Istanbul,Data Scientist,Trendyol,2022-06,Emin Ozturk (meminozturk),[Rank: 1000+] Emin Ozturk (meminozturk),1001.0
772,expert,Yusuke Oshiro,https://www.kaggle.com/oshiroy,0,4,0,11411,Japan,Tokyo,Tokyo,Data Scientist,NTT DATA,2022-06,Yusuke Oshiro (oshiroy),[Rank: 778] Yusuke Oshiro (oshiroy),778.0
773,expert,RICEDYS,https://www.kaggle.com/leehann,1,0,2,11411,United States,Texas,Houston,ML,Rice University,2022-06,RICEDYS (leehann),[Rank: 320] RICEDYS (leehann),320.0
774,expert,enddl22,https://www.kaggle.com/enddl22,0,1,3,11400,Australia,Queensland,Brisbane,Researcher,UNKOWN,2022-06,enddl22 (enddl22),[Rank: 346] enddl22 (enddl22),346.0
775,grandmaster,Little Boat,https://www.kaggle.com/xiaozhouwang,18,20,6,11394,Canada,Ontario,Toronto,Co-founder,Quartic.ai,2022-06,Little Boat (xiaozhouwang),[Rank: 1000+] Little Boat (xiaozhouwang),1001.0
776,master,JIN,https://www.kaggle.com/jinssaa,1,2,1,11390,South Korea,Seoul,Seoul,AI Researcher,MegaStudyEdu,2022-06,JIN (jinssaa),[Rank: 723] JIN (jinssaa),723.0
777,expert,yCarbon,https://www.kaggle.com/jpn888,0,1,2,11386,Japan,Tokyo,Tokyo,ML engineer,UNKOWN,2022-06,yCarbon (jpn888),[Rank: 1000+] yCarbon (jpn888),1001.0
778,master,Igor Vikhrov,https://www.kaggle.com/soloway,2,3,3,11385,Russia,UNKOWN,Saint Petersburg,Lead Data Scientist,AdTech,2022-06,Igor Vikhrov (soloway),[Rank: 1000+] Igor Vikhrov (soloway),1001.0
779,grandmaster,colun,https://www.kaggle.com/coluna,5,5,1,11377,Japan,Fukuoka,Kurume,Chief Scientific Officer,THIRD INC.,2022-06,colun (coluna),[Rank: 1000+] colun (coluna),1001.0
780,expert,Yosuke Shinya,https://www.kaggle.com/shinya7y,0,1,4,11371,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-06,Yosuke Shinya (shinya7y),[Rank: 947] Yosuke Shinya (shinya7y),947.0
781,expert,felixoneberlin,https://www.kaggle.com/felixoneberlin,2,0,0,11353,Germany,Berlin,Berlin,PhD candidate,RWTH Aachen University,2022-06,felixoneberlin (felixoneberlin),[Rank: 1000+] felixoneberlin (felixoneberlin),1001.0
782,master,Yichao,https://www.kaggle.com/luyichao,1,2,1,11347,China,Shanghai,Shanghai,Research Scientist,UNKOWN,2022-06,Yichao (luyichao),[Rank: 1000+] Yichao (luyichao),1001.0
783,grandmaster,owruby,https://www.kaggle.com/owruby,5,6,5,11342,Japan,Tokyo,Tokyo,Data Scientist,Japan,2022-06,owruby (owruby),[Rank: 1000+] owruby (owruby),1001.0
784,master,ishtos,https://www.kaggle.com/tiginkgo,1,7,1,11323,Japan,Tokyo,Minato City,Software Engineer,Financial Company,2022-06,ishtos (tiginkgo),[Rank: 978] ishtos (tiginkgo),978.0
785,expert,James Davis,https://www.kaggle.com/lorentztrans,1,1,0,11313,United States,Ohio,Columbus,None,Home,2022-06,James Davis (lorentztrans),[Rank: 1000+] James Davis (lorentztrans),1001.0
786,master,Aphrodite,https://www.kaggle.com/aphrodite874,1,3,1,11300,China,Guangdong Province,Shenzhen,Quant,Finance,2022-06,Aphrodite (aphrodite874),[Rank: 920] Aphrodite (aphrodite874),920.0
787,expert,isa k [dsmlkz],https://www.kaggle.com/isakev,0,3,6,11292,Kazakhstan,Almaty Province,Almaty,UNKOWN,UNKOWN,2022-06,isa k [dsmlkz] (isakev),[Rank: 1000+] isa k [dsmlkz] (isakev),1001.0
788,expert,Fritz Cremer,https://www.kaggle.com/fritzcremer,0,1,3,11290,Germany,Berlin,Berlin,Computer science student,Free University of Berlin,2022-06,Fritz Cremer (fritzcremer),[Rank: 491] Fritz Cremer (fritzcremer),491.0
789,expert,Eric Freeman,https://www.kaggle.com/ericfreeman,0,5,4,11263,United States,Florida,Jupiter,Data Scientist,_,2022-06,Eric Freeman (ericfreeman),[Rank: 1000+] Eric Freeman (ericfreeman),1001.0
790,expert,mkt0309,https://www.kaggle.com/mkt0309,1,0,1,11252,Japan,Tokyo,Tokyo,engineers,KM,2022-06,mkt0309 (mkt0309),[Rank: 1000+] mkt0309 (mkt0309),1001.0
791,expert,anthony,https://www.kaggle.com/hypocrites,0,2,0,11245,Ukraine,UNKOWN,Kyiv,Software Engineer,UNKOWN,2022-06,anthony (hypocrites),[Rank: 552] anthony (hypocrites),552.0
792,expert,vivek,https://www.kaggle.com/datakite,0,1,1,11235,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,vivek (datakite),[Rank: 620] vivek (datakite),620.0
793,expert,Anand Sunderrajan,https://www.kaggle.com/anandsunderrajan,0,0,3,11229,United States,Illinois,Chicago,UNKOWN,UNKOWN,2022-06,Anand Sunderrajan (anandsunderrajan),[Rank: 664] Anand Sunderrajan (anandsunderrajan),664.0
794,expert,ammarali32,https://www.kaggle.com/ammarali32,0,3,3,11217,Russia,UNKOWN,Saint Petersburg,Programmer,ITMO university,2022-06,ammarali32 (ammarali32),[Rank: 455] ammarali32 (ammarali32),455.0
795,expert,Seawolf,https://www.kaggle.com/xiwuhan,1,1,1,11141,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,Seawolf (xiwuhan),[Rank: 1000+] Seawolf (xiwuhan),1001.0
796,expert,jelly,https://www.kaggle.com/jellyz9,0,3,2,11129,Japan,Hokkaido,Sapporo,Engineer,UNKOWN,2022-06,jelly (jellyz9),[Rank: 789] jelly (jellyz9),789.0
797,expert,Remek Kinas,https://www.kaggle.com/remekkinas,0,3,0,11108,Poland,Masovian Voivodeship,Warsaw,AI independent consultant (Computer Vision),ai5 (own business),2022-06,Remek Kinas (remekkinas),[Rank: 825] Remek Kinas (remekkinas),825.0
798,expert,linear,https://www.kaggle.com/ccvipchenbin,1,1,1,11093,China,Zhejiang,Hangzhou,UNKOWN,UNKOWN,2022-06,linear (ccvipchenbin),[Rank: 718] linear (ccvipchenbin),718.0
799,master,Dmitriy Guller,https://www.kaggle.com/dmitriyguller,4,7,2,11092,United States,UNKOWN,UNKOWN,Actuary,UNKOWN,2022-06,Dmitriy Guller (dmitriyguller),[Rank: 1000+] Dmitriy Guller (dmitriyguller),1001.0
800,grandmaster,Pavel Ostyakov,https://www.kaggle.com/pavelost,8,2,2,11064,Russia,UNKOWN,Moscow,Team Leader of Image Processing Group,Huawei Technologies,2022-06,Pavel Ostyakov (pavelost),[Rank: 1000+] Pavel Ostyakov (pavelost),1001.0
801,master,Evgeny Kononenko,https://www.kaggle.com/lenny27,2,4,0,11054,Russia,UNKOWN,Moscow,UNKOWN,UNKOWN,2022-06,Evgenii Kononenko (lenny27),[Rank: 367] Evgenii Kononenko (lenny27),367.0
802,expert,Byfone,https://www.kaggle.com/byfone,0,3,5,11033,Uzbekistan,Tashkent Region,Tashkent,MLE,UNKOWN,2022-06,Byfone (byfone),[Rank: 1000+] Byfone (byfone),1001.0
803,master,Konrad Banachewicz,https://www.kaggle.com/konradb,9,29,16,11016,Netherlands,North Holland,Haarlem,I interrogate data for a living,TNG Quant Consultancy,2022-06,Konrad Banachewicz (konradb),[Rank: 1000+] Konrad Banachewicz (konradb),1001.0
804,master,tktk,https://www.kaggle.com/sunakuzira,1,3,1,11005,Japan,Tokyo,Tokyo,System engineer,UNKOWN,2022-06,tktk (sunakuzira),[Rank: 1000+] tktk (sunakuzira),1001.0
805,expert,HyeongChan Kim,https://www.kaggle.com/kozistr,0,5,2,11004,South Korea,Gyeonggi-do,Anyang,Data Scientist,somewhere,2022-06,HyeongChan Kim (kozistr),[Rank: 831] HyeongChan Kim (kozistr),831.0
806,master,sokazaki,https://www.kaggle.com/sokazaki,1,3,2,10995,Japan,Tokyo,Tokyo,Research Scientist,Hitachi,2022-06,sokazaki (sokazaki),[Rank: 1000+] sokazaki (sokazaki),1001.0
807,master,sakami,https://www.kaggle.com/sakami,3,3,0,10976,Japan,Tokyo,Tokyo,Data Scientist,DeNA,2022-06,sakami (sakami),[Rank: 712] sakami (sakami),712.0
808,expert,thirota,https://www.kaggle.com/thirota,0,1,3,10960,Japan,Osaka,Osaka,Data Engineer,UNKOWN,2022-06,thirota (thirota),[Rank: 986] thirota (thirota),986.0
809,master,Eek The Cat,https://www.kaggle.com/cateek,2,7,3,10956,Russia,UNKOWN,Moscow,., .,2022-06,Eek The Cat (cateek),[Rank: 1000+] Eek The Cat (cateek),1001.0
810,master,rincha,https://www.kaggle.com/satrin,1,4,1,10926,Japan,Tokyo,Tokyo,Data Scientist,DeNA / Mobility Technologies,2022-06,rincha (satrin),[Rank: 887] rincha (satrin),887.0
811,expert,Ed Yanakov,https://www.kaggle.com/edyanakov,0,3,4,10926,Russia,UNKOWN,Moscow,Data scientist,Alfa bank,2022-06,Ed Yanakov (edyanakov),[Rank: 880] Ed Yanakov (edyanakov),880.0
812,expert,Penguin,https://www.kaggle.com/qypeng12,0,0,4,10921,United States,Washington,Seattle,Student,US,2022-06,Penguin (qypeng12),[Rank: 1000+] Penguin (qypeng12),1001.0
813,expert,kzykmyzw,https://www.kaggle.com/kazuyukimiyazawa,0,5,3,10892,Japan,Tokyo,Tokyo,Research Engineer,"Mobility Technologies Co., Ltd.",2022-06,kzykmyzw (kazuyukimiyazawa),[Rank: 1000+] kzykmyzw (kazuyukimiyazawa),1001.0
814,expert,ZhangWesley,https://www.kaggle.com/zhangwesley,1,1,0,10873,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,ZhangWesley (zhangwesley),[Rank: 1000+] ZhangWesley (zhangwesley),1001.0
815,expert,tom88jerry,https://www.kaggle.com/tom88jerry,0,4,1,10833,United Kingdom,England,Nottingham,Senior engineer,Sprint Electric,2022-06,tom88jerry (tom88jerry),[Rank: 1000+] tom88jerry (tom88jerry),1001.0
816,master,eagle4,https://www.kaggle.com/chabir,1,7,6,10829,United States,New York,New York,Looking for next opportunity,...,2022-06,eagle4 (chabir),[Rank: 1000+] eagle4 (chabir),1001.0
817,expert,Sxwat,https://www.kaggle.com/aybatov,0,2,1,10798,Russia,UNKOWN,Moscow,Data Scientist,VK,2022-06,Sxwat (aybatov),[Rank: 1000+] Sxwat (aybatov),1001.0
818,expert,Jaskirat Singh,https://www.kaggle.com/jaskirat409,0,0,2,10790,India,Delhi,New Delhi,Systems Engineer,Tata Consultancy Services,2022-06,Jaskirat Singh (jaskirat409),[Rank: 1000+] Jaskirat Singh (jaskirat409),1001.0
819,master,tea໒꒱,https://www.kaggle.com/tea1013,1,2,1,10788,Japan,Tokyo,Shibuya City,Developer,UNKOWN,2022-06,tea໒꒱ (tea1013),[Rank: 749] tea໒꒱ (tea1013),749.0
820,master,ilovepotatoes,https://www.kaggle.com/thakurudit,1,2,4,10786,India,Himachal Pradesh,Shimla,Student,Manipal University Jaipur,2022-06,ilovepotatoes (thakurudit),[Rank: 1000+] ilovepotatoes (thakurudit),1001.0
821,grandmaster,TerenceLiu,https://www.kaggle.com/terenceliu4444,6,9,3,10782,United States,New York,New York,Data Scientist,Tech company,2022-06,TerenceLiu (terenceliu4444),[Rank: 1000+] TerenceLiu (terenceliu4444),1001.0
822,master,pongba,https://www.kaggle.com/zhugds,2,8,7,10780,United States,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,Sea Monster (zhugds),[Rank: 992] Sea Monster (zhugds),992.0
823,expert,motono0223,https://www.kaggle.com/motono0223,0,1,3,10769,Japan,Tokyo,Tokyo,ML/MLOps Engineer,UNKOWN,2022-06,motono0223 (motono0223),[Rank: 585] motono0223 (motono0223),585.0
824,expert,radioactive,https://www.kaggle.com/tiquasar,0,2,0,10742,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,radioactive (tiquasar),[Rank: 430] radioactive (tiquasar),430.0
825,master,Benlei Cui,https://www.kaggle.com/raininbox,1,4,4,10738,China,Zhejiang,Hangzhou,Five,Zhejiang Gongshang University,2022-06,Benlei Cui (raininbox),[Rank: 1000+] Benlei Cui (raininbox),1001.0
826,expert,agenlu,https://www.kaggle.com/agenlu,0,6,5,10737,Spain,Andalusia,Cádiz,Engineer, some place,2022-06,agenlu (agenlu),[Rank: 804] agenlu (agenlu),804.0
827,expert,Darien Schettler,https://www.kaggle.com/dschettler8845,1,1,1,10727,Canada,Ontario,London,Staff Machine Learning Architect,VMWare Inc.,2022-06,Darien Schettler (dschettler8845),[Rank: 366] Darien Schettler (dschettler8845),366.0
828,expert,Jung,https://www.kaggle.com/ratthachat,0,10,4,10708,Thailand,Nakhon Ratchasima,UNKOWN,AI Scientist / Writer,fb.me/thaikeras,2022-06,Jung (ratthachat),[Rank: 1000+] Jung (ratthachat),1001.0
829,master,louis,https://www.kaggle.com/darkcoeus,4,1,0,10690,Hong Kong,UNKOWN,UNKOWN,Researcher,UNKOWN,2022-06,louis (darkcoeus),[Rank: 1000+] louis (darkcoeus),1001.0
830,expert,TG,https://www.kaggle.com/darkravager,0,4,5,10687,India,Uttar Pradesh,Kanpur,Student,"IIT,Dhanbad",2022-06,TG (darkravager),[Rank: 1000+] TG (darkravager),1001.0
831,expert,htsbrer,https://www.kaggle.com/ht5brer,0,4,2,10686,Japan,Tokyo,Tokyo,DA,Tokyo,2022-06,htsbrer (ht5brer),[Rank: 545] htsbrer (ht5brer),545.0
832,expert,vialactea,https://www.kaggle.com/vialactea,0,3,2,10671,United States,Illinois,Chicago,Lead  analytics consultant,  ,2022-06,vialactea (vialactea),[Rank: 373] vialactea (vialactea),373.0
833,master,ryomak,https://www.kaggle.com/ryomak,1,3,0,10659,Japan,Tokyo,Tokyo,student,University of Tokyo,2022-06,ryomak (ryomak),[Rank: 1000+] ryomak (ryomak),1001.0
834,expert,致Great,https://www.kaggle.com/quincyqiang,0,3,1,10657,China,Beijing,Beijing,nlp,ict,2022-06,致Great (quincyqiang),[Rank: 645] 致Great (quincyqiang),645.0
835,expert,mizoo,https://www.kaggle.com/yukio0201,0,2,3,10652,Japan,Nagano,Suwa,engineer,CA,2022-06,mizoo (yukio0201),[Rank: 767] mizoo (yukio0201),767.0
836,master,Andy Penrose,https://www.kaggle.com/andypenrose,1,2,8,10645,United Kingdom,England,Cambridge,Developer,FinTech,2022-06,Andy Penrose (andypenrose),[Rank: 961] Andy Penrose (andypenrose),961.0
837,expert,KJ,https://www.kaggle.com/whitelily,1,0,4,10644,Japan,Tokyo,Tokyo,Yuricomic Lover,UNKOWN,2022-06,KJ (whitelily),[Rank: 976] KJ (whitelily),976.0
838,master,StephKua,https://www.kaggle.com/stephkua,2,4,2,10620,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,UNKOWN,UNKOWN,2022-06,StephKua (stephkua),[Rank: 1000+] StephKua (stephkua),1001.0
839,expert,NeoneoLeo,https://www.kaggle.com/niuniu3412,0,3,0,10620,China,Shanghai,Shanghai,Postgraduate,University,2022-06,NeoneoLeo (niuniu3412),[Rank: 939] NeoneoLeo (niuniu3412),939.0
840,master,Tung Vu,https://www.kaggle.com/tungvs,2,1,1,10598,Vietnam,Hanoi,Hanoi,Developer,Viettel Group,2022-06,Tung Vu (tungvs),[Rank: 1000+] Tung Vu (tungvs),1001.0
841,expert,zakopuro,https://www.kaggle.com/zakopur0,0,7,2,10582,Japan,Tokyo,Tokyo,Data Scientist,Japan,2022-06,zakopuro (zakopur0),[Rank: 438] zakopuro (zakopur0),438.0
842,expert,Dapeng,https://www.kaggle.com/li325040229,0,4,5,10582,China,Beijing,Beijing,ph.D,UCAS,2022-06,Dapeng (li325040229),[Rank: 1000+] Dapeng (li325040229),1001.0
843,master,Wenjing Zhang,https://www.kaggle.com/nywenjing,1,2,0,10563,Singapore,UNKOWN,Singapore,Senior AI Engineer,Ankobot Singapore,2022-06,Wenjing Zhang (nywenjing),[Rank: 1000+] Wenjing Zhang (nywenjing),1001.0
844,master,Urvish,https://www.kaggle.com/urvishp80,1,5,5,10554,Canada,Ontario,Windsor,ML Engineer ,UNKOWN,2022-06,Urvish (urvishp80),[Rank: 1000+] Urvish (urvishp80),1001.0
845,expert,Stanislav Blinov,https://www.kaggle.com/stanislavblinov,0,4,5,10553,Russia,UNKOWN,Moscow,Executive Director,Gazprombank,2022-06,Stanislav Blinov (stanislavblinov),[Rank: 1000+] Stanislav Blinov (stanislavblinov),1001.0
846,master,Awsaf,https://www.kaggle.com/awsaf49,1,3,2,10553,Bangladesh,Dhaka Division,Dhaka,EEE Undergrad,BUET,2022-06,Awsaf (awsaf49),[Rank: 1000+] Awsaf (awsaf49),1001.0
